Combo,Abserrors
"Total Docs. (2017),Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.27559675875555617
"Total Docs. (2017),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27648308361725754
"Total Docs. (2017),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2752474230067127
"Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.281882622955637
"Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.7346504913368255
"Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.2760168204438934
"Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27695482440494557
"Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27578470339479133
"Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2757015039005234
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years)",1.7497473004728494
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years)",0.2808173195799997
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Ref. / Doc.",1.7707607419741473
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years)",0.28295607537952105
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years),Ref. / Doc.",2.052970209609491
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Cites / Doc. (2years),Ref. / Doc.",0.27751750532084674
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.2806839383124908
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.6754081613549898
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.2759429473740971
"H index_x,Total Docs. (2017),Total Docs. (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2776876789053892
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.28039202688425213
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.7443605849182038
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.27578989363781203
"H index_x,Total Docs. (2017),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.277340584494353
"H index_x,Total Docs. (2017),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2755889672391639
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.2813994382477961
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.7265912336460905
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.2761916280964745
"H index_x,Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27772249600548027
"H index_x,Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2757688456003806
"H index_x,Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27592268080262
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.2803692412966015
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.70201566583854
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.27584454078468434
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2769224921770622
"Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27553358718069565
"Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27547256679412235
"Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2758289816568701
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years)",0.2798650890025825
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Ref. / Doc.",1.699153880971488
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Cites / Doc. (2years),Ref. / Doc.",0.27600453712984974
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2776884860440437
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27556868728116285
"H index_x,Total Docs. (2017),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2756688665380881
"H index_x,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2758022039659227
"Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.27567266318276973
"H index_x,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.",0.2756279334284483
